Transaction_ID,Date,Amount,Description
TXN00240,2026-12-26,6877,Travel Expense
TXN00241,2026-12-27,12015,Vendor Payment
TXN00242,2026-12-28,1944,Electricity Bill
TXN00243,2026-12-29,9288,Rent
TXN00244,2026-12-30,2421,Office Supplies
TXN00245,2026-12-31,1847,Internet Bill
TXN00246,2027-01-01,18701,Salary Payment
TXN00247,2027-01-02,1826,Water Bill
TXN00248,2027-01-03,7973,Travel Expense
TXN00249,2027-01-04,13111,Vendor Payment
TXN00250,2027-01-05,3040,Electricity Bill
TXN00251,2027-01-06,10384,Rent
TXN00252,2027-01-07,3517,Office Supplies
TXN00253,2027-01-08,1142,Internet Bill
TXN00254,2027-01-09,19797,Salary Payment
TXN00255,2027-01-10,2922,Water Bill
TXN00256,2027-01-11,9069,Travel Expense
TXN00257,2027-01-12,14207,Vendor Payment
TXN00258,2027-01-13,935,Electricity Bill
TXN00259,2027-01-14,11480,Rent
TXN00260,2027-01-15,4613,Office Supplies
TXN00261,2027-01-16,2238,Internet Bill
TXN00262,2027-01-17,20893,Salary Payment
TXN00263,2027-01-18,1517,Water Bill
TXN00264,2027-01-19,1164,Travel Expense
TXN00265,2027-01-20,3302,Vendor Payment
TXN00266,2027-01-21,2031,Electricity Bill
TXN00267,2027-01-22,3575,Rent
TXN00268,2027-01-23,1208,Office Supplies
TXN00269,2027-01-24,1533,Internet Bill
TXN00270,2027-01-25,21989,Salary Payment
TXN00271,2027-01-26,2613,Water Bill
TXN00272,2027-01-27,2260,Travel Expense
TXN00273,2027-01-28,4398,Vendor Payment
TXN00274,2027-01-29,3127,Electricity Bill
TXN00275,2027-01-30,4671,Rent
TXN00276,2027-01-31,232104,Office Supplies
TXN00277,2027-02-01,828,Internet Bill
TXN00278,2027-02-02,2321085,Salary Payment
TXN00279,2027-02-03,1208,Water Bill
TXN00280,2027-02-04,3356,Travel Expense
TXN00281,2027-02-05,542194,Vendor Payment
TXN00282,2027-02-06,1022,Electricity Bill
TXN00283,2027-02-07,572167,Rent
TXN00284,2027-02-08,3400,Office Supplies
TXN00285,2027-02-09,1924,Internet Bill
TXN00286,2027-02-10,24181,Salary Payment
TXN00287,2027-02-11,2304,Water Bill
TXN00288,2027-02-12,4452,Travel Expense
TXN00289,2027-02-13,6590,Vendor Payment
TXN00290,2027-02-14,2118,Electricity Bill
TXN00291,2027-02-15,6863,Rent
TXN00292,2027-02-16,4496,Office Supplies
TXN00293,2027-02-17,1219,Internet Bill
TXN00294,2027-02-18,5276,Salary Payment
TXN00295,2027-02-19,899,Water Bill
TXN00296,2027-02-20,5548,Travel Expense
TXN00297,2027-02-21,7686,Vendor Payment
TXN00298,2027-02-22,3214,Electricity Bill
TXN00299,2027-02-23,7959,Rent
TXN00300,2027-02-24,1091,Office Supplies
TXN00301,2027-02-25,2315,Internet Bill
TXN00302,2027-02-26,6372,Salary Payment
TXN00303,2027-02-27,1995,Water Bill
TXN00304,2027-02-28,6644,Travel Expense
TXN00305,2027-03-01,8782,Vendor Payment
TXN00306,2027-03-02,1109,Electricity Bill
TXN00307,2027-03-03,9055,Rent
TXN00308,2027-03-04,2187,Office Supplies
TXN00309,2027-03-05,1610,Internet Bill
TXN00310,2027-03-06,7468,Salary Payment
TXN00311,2027-03-07,590,Water Bill
TXN00312,2027-03-08,7740,Travel Expense
TXN00313,2027-03-09,9878,Vendor Payment
TXN00314,2027-03-10,2205,Electricity Bill
TXN00315,2027-03-11,10151,Rent
TXN00316,2027-03-12,3283,Office Supplies
TXN00317,2027-03-13,905,Internet Bill
TXN00318,2027-03-14,8564,Salary Payment
TXN00319,2027-03-15,1686,Water Bill
TXN00320,2027-03-16,8836,Travel Expense
TXN00321,2027-03-17,10974,Vendor Payment
TXN00322,2027-03-18,3301,Electricity Bill
TXN00323,2027-03-19,11247,Rent
TXN00324,2027-03-20,4379,Office Supplies
TXN00325,2027-03-21,2001,Internet Bill
TXN00326,2027-03-22,9660,Salary Payment
TXN00327,2027-03-23,2782,Water Bill
TXN00328,2027-03-24,9932,Travel Expense
TXN00329,2027-03-25,12070,Vendor Payment
TXN00330,2027-03-26,1196,Electricity Bill
TXN00331,2027-03-27,3342,Rent
TXN00332,2027-03-28,974,Office Supplies
TXN00333,2027-03-29,1296,Internet Bill
TXN00334,2027-03-30,10756,Salary Payment
TXN00335,2027-03-31,1377,Water Bill
TXN00336,2027-04-01,2027,Travel Expense
TXN00337,2027-04-02,13166,Vendor Payment
TXN00338,2027-04-03,2292,Electricity Bill
TXN00339,2027-04-04,4438,Rent
TXN00340,2027-04-05,2070,Office Supplies
TXN00341,2027-04-06,2392,Internet Bill
TXN00342,2027-04-07,11852,Salary Payment
TXN00343,2027-04-08,2473,Water Bill
TXN00344,2027-04-09,3123,Travel Expense
TXN00345,2027-04-10,14262,Vendor Payment
TXN00346,2027-04-11,3388,Electricity Bill
TXN00347,2027-04-12,5534,Rent
TXN00348,2027-04-13,3166,Office Supplies
TXN00349,2027-04-14,1687,Internet Bill
TXN00350,2027-04-15,12948,Salary Payment
TXN00351,2027-04-16,1068,Water Bill
TXN00352,2027-04-17,4219,Travel Expense
TXN00353,2027-04-18,3357,Vendor Payment
TXN00354,2027-04-19,1283,Electricity Bill
TXN00355,2027-04-20,6630,Rent
TXN00356,2027-04-21,4262,Office Supplies
TXN00357,2027-04-22,982,Internet Bill
TXN00358,2027-04-23,14044,Salary Payment
TXN00359,2027-04-24,2164,Water Bill
TXN00360,2027-04-25,5315,Travel Expense
TXN00361,2027-04-26,4453,Vendor Payment
TXN00362,2027-04-27,2379,Electricity Bill
TXN00363,2027-04-28,7726,Rent
TXN00364,2027-04-29,857,Office Supplies
TXN00365,2027-04-30,2078,Internet Bill
TXN00366,2026-05-01,15140,Salary Payment
TXN00367,2026-05-02,759,Water Bill
TXN00368,2026-05-03,6411,Travel Expense
TXN00369,2026-05-04,5549,Vendor Payment
TXN00370,2026-05-05,3475,Electricity Bill
TXN00371,2026-05-06,8822,Rent
TXN00372,2026-05-07,1953,Office Supplies
TXN00373,2026-05-08,1373,Internet Bill
TXN00374,2026-05-09,16236,Salary Payment
TXN00375,2026-05-10,1855,Water Bill
TXN00376,2026-05-11,7507,Travel Expense
TXN00377,2026-05-12,6645,Vendor Payment
TXN00378,2026-05-13,1370,Electricity Bill
TXN00379,2026-05-14,9918,Rent
TXN00380,2026-05-15,3049,Office Supplies
TXN00381,2026-05-16,2469,Internet Bill
TXN00382,2026-05-17,17332,Salary Payment
TXN00383,2026-05-18,2951,Water Bill
TXN00384,2026-05-19,8603,Travel Expense
TXN00385,2026-05-20,7741,Vendor Payment
TXN00386,2026-05-21,2466,Electricity Bill
TXN00387,2026-05-22,11014,Rent
TXN00388,2026-05-23,4145,Office Supplies
TXN00389,2026-05-24,1764,Internet Bill
TXN00390,2026-05-25,18428,Salary Payment
TXN00391,2026-05-26,1546,Water Bill
TXN00392,2026-05-27,9699,Travel Expense
TXN00393,2026-05-28,8837,Vendor Payment
TXN00394,2026-05-29,3562,Electricity Bill
TXN00395,2026-05-30,3109,Rent
TXN00396,2026-05-31,740,Office Supplies
TXN00397,2026-06-01,1059,Internet Bill
TXN00398,2026-06-02,19524,Salary Payment
TXN00399,2026-06-03,2642,Water Bill
TXN00400,2026-06-04,1794,Travel Expense
TXN00401,2026-06-05,9933,Vendor Payment
TXN00402,2026-06-06,1457,Electricity Bill
TXN00403,2026-06-07,4205,Rent
TXN00404,2026-06-08,1836,Office Supplies
TXN00405,2026-06-09,2155,Internet Bill
TXN00406,2026-06-10,20620,Salary Payment
TXN00407,2026-06-11,1237,Water Bill
TXN00408,2026-06-12,2890,Travel Expense
TXN00409,2026-06-13,11029,Vendor Payment
TXN00410,2026-06-14,2553,Electricity Bill
TXN00411,2026-06-15,5301,Rent
TXN00412,2026-06-16,2932,Office Supplies
TXN00413,2026-06-17,1450,Internet Bill
TXN00414,2026-06-18,21716,Salary Payment
TXN00415,2026-06-19,2333,Water Bill
TXN00416,2026-06-20,3986,Travel Expense
TXN00417,2026-06-21,12125,Vendor Payment
TXN00418,2026-06-22,3649,Electricity Bill
TXN00419,2026-06-23,6397,Rent
TXN00420,2026-06-24,4028,Office Supplies
TXN00421,2026-06-25,745,Internet Bill
TXN00422,2026-06-26,22812,Salary Payment
TXN00423,2026-06-27,928,Water Bill
TXN00424,2026-06-28,5082,Travel Expense
TXN00425,2026-06-29,13221,Vendor Payment
TXN00426,2026-06-30,1544,Electricity Bill
TXN00427,2026-07-01,7493,Rent
TXN00428,2026-07-02,623,Office Supplies
TXN00429,2026-07-03,1841,Internet Bill
TXN00430,2026-07-04,23908,Salary Payment
TXN00431,2026-07-05,2024,Water Bill
TXN00432,2026-07-06,6178,Travel Expense
TXN00433,2026-07-07,14317,Vendor Payment
TXN00434,2026-07-08,2640,Electricity Bill
TXN00435,2026-07-09,8589,Rent
TXN00436,2026-07-10,1719,Office Supplies
TXN00437,2026-07-11,1136,Internet Bill
TXN00438,2026-07-12,5003,Salary Payment
TXN00439,2026-07-13,619,Water Bill
TXN00440,2026-07-14,7274,Travel Expense
TXN00441,2026-07-15,3412,Vendor Payment
TXN00442,2026-07-16,3736,Electricity Bill
TXN00443,2026-07-17,9685,Rent
TXN00444,2026-07-18,2815,Office Supplies
TXN00445,2026-07-19,2232,Internet Bill
TXN00446,2026-07-20,6099,Salary Payment
TXN00447,2026-07-21,1715,Water Bill
TXN00448,2026-07-22,8370,Travel Expense
TXN00449,2026-07-23,4508,Vendor Payment
TXN00450,2026-07-24,1631,Electricity Bill
TXN00451,2026-07-25,10781,Rent
TXN00452,2026-07-26,3911,Office Supplies
TXN00453,2026-07-27,1527,Internet Bill
TXN00454,2026-07-28,7195,Salary Payment
TXN00455,2026-07-29,2811,Water Bill
TXN00456,2026-07-30,9466,Travel Expense
TXN00457,2026-07-31,5604,Vendor Payment
TXN00458,2026-08-01,2727,Electricity Bill
TXN00459,2026-08-02,11877,Rent
TXN00460,2026-08-03,506,Office Supplies
TXN00461,2026-08-04,822,Internet Bill
TXN00462,2026-08-05,8291,Salary Payment
TXN00463,2026-08-06,1406,Water Bill
TXN00464,2026-08-07,1561,Travel Expense
TXN00465,2026-08-08,6700,Vendor Payment
TXN00466,2026-08-09,3823,Electricity Bill
TXN00467,2026-08-10,3972,Rent
TXN00468,2026-08-11,1602,Office Supplies
TXN00469,2026-08-12,1918,Internet Bill
TXN00470,2026-08-13,9387,Salary Payment
TXN00471,2026-08-14,2502,Water Bill
TXN00472,2026-08-15,2657,Travel Expense
TXN00473,2026-08-16,7796,Vendor Payment
TXN00474,2026-08-17,1718,Electricity Bill
TXN00475,2026-08-18,5068,Rent
TXN00476,2026-08-19,2698,Office Supplies
TXN00477,2026-08-20,1213,Internet Bill
TXN00478,2026-08-21,10483,Salary Payment
TXN00479,2026-08-22,1097,Water Bill
TXN00480,2026-08-23,3753,Travel Expense
TXN00481,2026-08-24,8892,Vendor Payment
TXN00482,2026-08-25,2814,Electricity Bill
TXN00483,2026-08-26,6164,Rent
TXN00484,2026-08-27,3794,Office Supplies
TXN00485,2026-08-28,2309,Internet Bill
TXN00486,2026-08-29,11579,Salary Payment
TXN00487,2026-08-30,2193,Water Bill
TXN00488,2026-08-31,4849,Travel Expense
TXN00489,2026-09-01,9988,Vendor Payment
TXN00490,2026-09-02,3910,Electricity Bill
TXN00491,2026-09-03,7260,Rent
TXN00492,2026-09-04,4890,Office Supplies
TXN00493,2026-09-05,1604,Internet Bill
TXN00494,2026-09-06,12675,Salary Payment
TXN00495,2026-09-07,788,Water Bill
TXN00496,2026-09-08,5945,Travel Expense
TXN00497,2026-09-09,11084,Vendor Payment
TXN00498,2026-09-10,1805,Electricity Bill
TXN00499,2026-09-11,8356,Rent
TXN00500,2026-09-12,1485,Office Supplies
TXN00501,2026-09-13,899,Internet Bill
TXN00502,2026-09-14,13771,Salary Payment
TXN00503,2026-09-15,1884,Water Bill
TXN00504,2026-09-16,7041,Travel Expense
TXN00505,2026-09-17,12180,Vendor Payment
TXN00506,2026-09-18,2901,Electricity Bill
TXN00507,2026-09-19,9452,Rent
TXN00508,2026-09-20,2581,Office Supplies
TXN00509,2026-09-21,1995,Internet Bill
TXN00510,2026-09-22,14867,Salary Payment
TXN00511,2026-09-23,2980,Water Bill
TXN00512,2026-09-24,8137,Travel Expense
TXN00513,2026-09-25,13276,Vendor Payment
TXN00514,2026-09-26,3997,Electricity Bill
TXN00515,2026-09-27,10548,Rent
TXN00516,2026-09-28,3677,Office Supplies
TXN00517,2026-09-29,1290,Internet Bill
TXN00518,2026-09-30,15963,Salary Payment
TXN00519,2026-10-01,1575,Water Bill
TXN00520,2026-10-02,9233,Travel Expense
TXN00521,2026-10-03,14372,Vendor Payment
TXN00522,2026-10-04,1892,Electricity Bill
TXN00523,2026-10-05,11644,Rent
TXN00524,2026-10-06,4773,Office Supplies
TXN00525,2026-10-07,2386,Internet Bill
TXN00526,2026-10-08,17059,Salary Payment
TXN00527,2026-10-09,2671,Water Bill
TXN00528,2026-10-10,1328,Travel Expense
TXN00529,2026-10-11,3467,Vendor Payment
TXN00530,2026-10-12,2988,Electricity Bill
TXN00531,2026-10-13,3739,Rent
TXN00532,2026-10-14,1368,Office Supplies
TXN00533,2026-10-15,1681,Internet Bill
TXN00534,2026-10-16,18155,Salary Payment
TXN00535,2026-10-17,1266,Water Bill
TXN00536,2026-10-18,2424,Travel Expense
TXN00537,2026-10-19,4563,Vendor Payment
TXN00538,2026-10-20,883,Electricity Bill
TXN00539,2026-10-21,4835,Rent
TXN00540,2026-10-22,2464,Office Supplies
TXN00541,2026-10-23,976,Internet Bill
TXN00542,2026-10-24,19251,Salary Payment
TXN00543,2026-10-25,2362,Water Bill
TXN00544,2026-10-26,3520,Travel Expense
TXN00545,2026-10-27,5659,Vendor Payment
TXN00546,2026-10-28,1979,Electricity Bill
TXN00547,2026-10-29,5931,Rent
TXN00548,2026-10-30,3560,Office Supplies
TXN00549,2026-10-31,2072,Internet Bill
TXN00550,2026-11-01,20347,Salary Payment
TXN00551,2026-11-02,957,Water Bill
TXN00552,2026-11-03,4616,Travel Expense
TXN00553,2026-11-04,6755,Vendor Payment
TXN00554,2026-11-05,3075,Electricity Bill
TXN00555,2026-11-06,7027,Rent
TXN00556,2026-11-07,4656,Office Supplies
TXN00557,2026-11-08,1367,Internet Bill
TXN00558,2026-11-09,21443,Salary Payment
TXN00559,2026-11-10,2053,Water Bill
TXN00560,2026-11-11,5712,Travel Expense
TXN00561,2026-11-12,7851,Vendor Payment
TXN00562,2026-11-13,970,Electricity Bill
TXN00563,2026-11-14,8123,Rent
TXN00564,2026-11-15,1251,Office Supplies
TXN00565,2026-11-16,2463,Internet Bill
TXN00566,2026-11-17,22539,Salary Payment
TXN00567,2026-11-18,648,Water Bill
TXN00568,2026-11-19,6808,Travel Expense
TXN00569,2026-11-20,8947,Vendor Payment
TXN00570,2026-11-21,2066,Electricity Bill
TXN00571,2026-11-22,9219,Rent
TXN00572,2026-11-23,2347,Office Supplies
TXN00573,2026-11-24,1758,Internet Bill
TXN00574,2026-11-25,23635,Salary Payment
TXN00575,2026-11-26,1744,Water Bill
TXN00576,2026-11-27,7904,Travel Expense
TXN00577,2026-11-28,10043,Vendor Payment
TXN00578,2026-11-29,3162,Electricity Bill
TXN00579,2026-11-30,10315,Rent
TXN00580,2026-12-01,3443,Office Supplies
TXN00581,2026-12-02,1053,Internet Bill
TXN00582,2026-12-03,24731,Salary Payment
TXN00583,2026-12-04,2840,Water Bill
TXN00584,2026-12-05,9000,Travel Expense
TXN00585,2026-12-06,11139,Vendor Payment
TXN00586,2026-12-07,1057,Electricity Bill
TXN00587,2026-12-08,11411,Rent
TXN00588,2026-12-09,4539,Office Supplies
TXN00589,2026-12-10,2149,Internet Bill
TXN00590,2026-12-11,5826,Salary Payment
TXN00591,2026-12-12,1435,Water Bill
TXN00592,2026-12-13,1095,Travel Expense
TXN00593,2026-12-14,12235,Vendor Payment
TXN00594,2026-12-15,2153,Electricity Bill
TXN00595,2026-12-16,3506,Rent
TXN00596,2026-12-17,1134,Office Supplies
TXN00597,2026-12-18,1444,Internet Bill
TXN00598,2026-12-19,6922,Salary Payment
TXN00599,2026-12-20,2531,Water Bill
TXN00600,2026-12-21,2191,Travel Expense
TXN00601,2026-12-22,13331,Vendor Payment
TXN00602,2026-12-23,3249,Electricity Bill
TXN00603,2026-12-24,4602,Rent
TXN00604,2026-12-25,2230,Office Supplies
TXN00605,2026-12-26,739,Internet Bill
TXN00606,2026-12-27,8018,Salary Payment
TXN00607,2026-12-28,1126,Water Bill
TXN00608,2026-12-29,3287,Travel Expense
TXN00609,2026-12-30,14427,Vendor Payment
TXN00610,2026-12-31,1144,Electricity Bill
TXN00611,2027-01-01,5698,Rent
TXN00612,2027-01-02,3326,Office Supplies
TXN00613,2027-01-03,1835,Internet Bill
TXN00614,2027-01-04,9114,Salary Payment
TXN00615,2027-01-05,2222,Water Bill
TXN00616,2027-01-06,4383,Travel Expense
TXN00617,2027-01-07,3522,Vendor Payment
TXN00618,2027-01-08,2240,Electricity Bill
TXN00619,2027-01-09,6794,Rent
TXN00620,2027-01-10,4422,Office Supplies
